iter	Passed	Remaining
148	3769	21528
149	3791	21485
150	3813	21443
151	3839	21422
152	3862	21384
153	3885	21347
154	3908	21308
155	3932	21273
156	3954	21235
157	3977	21198
158	4000	21161
159	4023	21124
160	4047	21091
161	4070	21054
162	4092	21016
163	4115	20978
164	4138	20943
165	4161	20907
166	4183	20869
167	4207	20838
168	4230	20801
169	4257	20788
170	4283	20766
171	4307	20735
172	4331	20704
173	4354	20671
174	4379	20647
175	4427	20728
176	4461	20745
177	4488	20728
178	4522	20742
179	4545	20705
180	4568	20670
181	4590	20634
182	4614	20599
183	4637	20565
184	4661	20536
185	4691	20531
186	4715	20502
187	4741	20477
188	4779	20510
189	4812	20517
190	4844	20519
191	4881	20541
192	4904	20507
193	4926	20469
194	4950	20435
195	4974	20403
196	4998	20372
197	5021	20339
198	5044	20304
199	5067	20269
200	5091	20237
201	5113	20201
202	5142	20191
203	5166	20159
204	5191	20132
205	5215	20101
206	5238	20067
207	5260	20031
208	5284	20001
209	5307	19966
210	5330	19933
211	5352	19895
212	5375	19862
213	5398	19828
214	5421	19795
215	5444	19762
216	5468	19732
217	5491	19700
218	5516	19671
219	5539	19640
220	5563	19611
221	5586	19577
222	5609	19545
223	5632	19511
224	5654	19477
225	5678	19448
226	5701	19415
227	5726	19389
228	5750	19360
229	5775	19334
230	5797	19301
231	5821	19272
232	5854	19270
233	5878	19244
234	5907	19232
235	5933	19209
236	5961	19192
237	5990	19178
238	6013	19147
239	6040	19127
240	6068	19113
241	6093	19087
242	6120	19066
243	6149	19054
244	6176	19032
245	6201	19006
246	6228	18987
247	6250	18952
248	6273	18920
249	6296	18889
250	6319	18856
251	6342	18827
252	6375	18824
253	6405	18813
254	6439	18814
255	6466	18793
256	6490	18765
257	6514	18735
258	6538	18706
259	6562	18678
260	6589	18659
261	6614	18630
262	6638	18602
263	6666	18584
264	6688	18550
265	6711	18520
266	6734	18489
267	6757	18457
268	6781	18427
269	6805	18400
270	6828	18370
271	6854	18346
272	6893	18356
273	6928	18358
274	6956	18341
275	6985	18323
276	7011	18302
277	7035	18271
278	7058	18241
279	7081	18210
280	7105	18180
281	7128	18148
282	7150	18116
283	7173	18085
284	7208	18084
285	7232	18055
286	7256	18027
287	7281	18000
288	7304	17969
289	7326	17938
290	7349	17905
291	7373	17877
292	7396	17846
293	7418	17815
294	7442	17786
295	7467	17760
296	7490	17729
297	7512	17696
298	7535	17666
299	7558	17637
300	7581	17606
301	7603	17573
302	7626	17542
303	7649	17513
304	7674	17488
305	7699	17462
306	7725	17438
307	7749	17411
308	7774	17385
309	7798	17356
310	7821	17327
311	7845	17299
312	7869	17272
313	7893	17245
314	7917	17217
315	7948	17205
316	7976	17185
317	8003	17164
318	8031	17145
319	8058	17124
320	8084	17100
321	8107	17072
322	8131	17042
323	8154	17014
324	8177	16984
325	8201	16956
326	8227	16932
327	8250	16904
328	8274	16876
329	8300	16851
330	8322	16821
331	8346	16792
332	8369	16763
333	8391	16733
334	8415	16705
335	8438	16675
336	8472	16668
337	8495	16639
338	8530	16633
339	8554	16605
340	8577	16577
341	8600	16547
342	8622	16516
343	8647	16490
344	8674	16468
345	8698	16441
346	8721	16412
347	8748	16390
348	8778	16374
349	8800	16344
350	8823	16314
351	8847	16287
352	8871	16259
353	8895	16233
354	8918	16204
355	8940	16173
356	8966	16150
357	9003	16145
358	9039	16140
359	9073	16130
360	9108	16122
361	9137	16103
362	9159	16073
363	9191	16060
364	9222	16044
365	9257	16036
366	9285	16014
367	9317	16002
368	9350	15989
369	9383	15976
370	9418	15967
371	9447	15948
372	9476	15930
373	9511	15919
374	9542	15903
375	9571	15885
376	9601	15866
377	9636	15856
378	9667	15840
379	9705	15834
380	9735	15816
381	9770	15805
382	9805	15796
383	9836	15779
384	9868	15764
385	9896	15741
386	9930	15729
387	9968	15724
388	10002	15710
389	10030	15688
390	10062	15672
391	10098	15662
392	10128	15643
393	10157	15623
394	10188	15604
395	10227	15598
396	10259	15583
397	10294	15571
398	10330	15560
399	10365	15548
400	10412	15554
401	10444	15536
402	10476	15520
